Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
2,Josef Koudelka,Limestone,2001,"Groupe Lhoist, Paris, 2001",V2: 203,Very high,CORE
2,Josef Koudelka,Černý trojúhelník - Podkrušnohoří Fotografie: 1990-1994 (The Black Triangle - The Foothills of the Ore Mountains: 1990-1994),1990; 1994,"(The Black Triangle - The Foothills of the Ore Mountains: 1990-1994) Správa Pražského, Prague, 1994",V2: 74,Very high,CORE
2,Josep Renau,Fotomontador (Photomontagist),1985,"Fondo de Cultura Económica, Colleción Río de Luz, Mexico City, 1985",V2: 116,Very high,CORE
3,Joseph Szabo,Almost Grown,1978,Harmony Books,V3: 219,Medium,BROAD
3,José Pedro Cortes,Things here and things still to come,,,,High,CORE
3,Jouko Lehtola,Finlandia,,,,High,CORE
3,João Rocha,Kim Jong Il Looking at Things,2012,Jean Boîte Éditions,,High,CORE
2,Jules Spinatsch,Temporary Discomfort: Chapter I-V,2005,"Lars Müller Publishers, Baden, 2005",V2: 325,Very high,CORE
2,Julian Germain,In Soccer Wonderland,1994,"Booth-Clibborn Editions, London, 1994",V2: 73,Very high,CORE
3,Julián Barón,C.E.N.S.U.R.A.,2011,RM / Museo Archivo de la Fotografia,,Medium,BROAD
3,Jürgen Teller,Nürnberg,,,,High,CORE
2,Karin Apollonia Muller,Angels in Fall,2001,"Kruse Verlag. Hamburg, 2001",V2: 285,Very high,CORE
2,"Karl Bassil, Zeina Maasri, Walid Raad and Akram Zaatari, eds",Mapping Sitting,2002,"Mind the gap and Fondation Arabe pour l'Image, Beirut, 2002",V2: 129,Very high,CORE
2,Karl Roos,Kan vi være dette Bekendt? (Can We Allow Ourselves This?),1946,"Westermanns Forlag, Copenhagen, 1946",V2: 242,Very high,CORE
3,Katinka Goldberg,Surfacing,,,,High,CORE
3,Katsumi Watanabe,Shinjuku gunto den 66/73,1973,Bara gahou sha,,High,CORE
1,"Kawada, Kikuji",Chizu,,,"V1: 11, 286-7",Medium provisional,BROAD
3,Kay Lee (ed.),America's Favorites,1982,Putnam Pub Group,,Medium,BROAD
1,"Kaye, John William",The People of india,,,V1: 47,High provisional,CORE
2,"Kazimierz Smoleń, ed",Oświęcim/Auschwitz,1965,"Państwowe Museum, Oświęcim, 1965",V2: 244,Very high,CORE
3,Kazuo Kenmochi,Mayaku / Narcotics: Photographic Document,1963,Inoue Shobo,V3: 82,Medium,BROAD
3,Kazuo Kitai,Sanrizuka 1969-1971,1971,Nora-sha,V3: 56,High,CORE
3,Kazuo Kitai,Teikoh (Resistance),1965,Murai-sha,,High,CORE
2,Keizo Kitajima,A.D. 1991,1991,"Kawade Shobo Shinsha, Tokyo, 1991",V2: 301,Very high,CORE
3,Keizo Kitajima,Shashin Tokkyubin Tokyo / Photomail from Tokyo,1979,,,Medium,BROAD
3,Kent Klich,Gaza Photo Album,2009,Journal,,High,CORE
1,"Kertész, André",Day of Paris,,,V1: 200,High provisional,CORE
1,"Kilian, Dr H",Facies Dolorosa,,,V1: 136-7,High provisional,CORE
1,"Kimura, Ihei / Ver, Mai (Moshé Raviv-Vorobeichic)",Paris,,,"V1: 297, 128-9",High provisional,CORE
2,Klaus Staeck,Pornografie,1971,"Anabas-Verlag Günter Kampf, Frankfurt, 1971",V2: 151,Very high,CORE
1,"Klein, William",Life Is Good & Good for You in New York,,,"V1: 10, 189, 214, 232, 233, 235-6, 243, 248, 250, 255, 268-9",Medium provisional,BROAD
2,Kohei Yoshiyuki,Document Kouen,1980,"Seven Sha, Tokyo, 1980",V2: 296,Very high,CORE
1,"Koishi, Kiyoshi",Shoka Shinkei,,,V1: 113,High provisional,CORE
1,"Koudelka, Josef",Gypsies,,,V1: 230,High provisional,CORE
1,"Kozik, Frantisek",Juventud y belleza,,,V1: 183,High provisional,CORE
2,Krass Clement,Drum: Et Sted i Irland (Drum: A Place in Ireland),1996,"Gyldendal, Copenhagen, 1996",V2: 81,Very high,CORE
3,Krass Clement,Ved døden,1990,Gyldendal,,High,CORE
1,"Kruckenhauser, Stefan",Ein Dorf Wird,,,V1: 206,High provisional,CORE
1,"Krull, Germaine",Etudes de nu,,,V1: 78,High provisional,CORE
1,"Krull, Germaine",Métal,,,V1: 95,High provisional,CORE
1,"Kurata, Seiji",Flash Up,,,V1: 305,High provisional,CORE
1,"Kálmán, Kata",Tiborc,,,V1: 140,High provisional,CORE
2,"L Harpman and P A Becx, eds",PLEM 1909-1959,1959,"Provinciale Limburgsche Electriciteitsmaatschappij, Maastricht, 1959",V2: 191,Very high,CORE
1,"Lange, Dorothea / Taylor, Paul S",An American Exodus,,,"V1: 140, 142-3",Medium provisional,BROAD
2,Larry Sultan,Pictures from Home,1992,"Harry N Abrams, New York, 1992",V2: 302,Very high,CORE
