Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
1,"Renger-Patzsch, Albert",Eisen und Stahl,,,"V1: 122, 125",Medium provisional,BROAD
1,"Reyzin, S B",Pervaya Konnaya,,,V1: 170-1,High provisional,CORE
3,Ricardo Cases,Paloma al aire,,,,High,CORE
2,Richard Avedon,In the American West,1985,"Harry N Abrams, New York, 1985",V2: 38,Very high,CORE
2,Richard Billingham,Ray's a Laugh,1996,"Scalo, Zurich, 1996",V2: 304,Very high,CORE
2,Richard Long,Labyrinth,1991,"Städtische Galerie im Stadelschen Kunstinstitut, Frankfurt, 1991",V2: 153,Very high,CORE
2,Richard Misrach,[a photographic book],1979,"Grapestake Gallery, San Francisco, California, 1979",V2: 32,Very high,CORE
1,"Riefenstahl, Leni",Schönheit im Olympischen Kampf,,,V1: 151,Medium provisional,BROAD
1,"Riis, Jacob A",How the Other Half Lives,,,"V1: 39, 40, 53",Medium provisional,BROAD
3,Riley Sharbonno & Monica Haller,Riley and His Story. Me and my outrage. You and us,2009,onestar press / Fälth & Hässler,,High,CORE
2,Rineke Dijkstra,Beaches,1996,"Codax Publisher, Zurich, 1996 (edition of 250)",V2: 277,Very high,CORE
3,Rinko Kawauchi,Illuminance,2011,Aperture,,High,CORE
2,Rinko Kawauchi,Utatane,2001,"Little More, Tokyo, 2001",V2: 316,Very high,CORE
3,Rob Hornstra,Sochi Singers,2011,Self published,V3: 230,Medium,BROAD
3,Rob Philip,On the Game,2006,Self published,,High,CORE
2,Robert Adams,Listening to the River,1994,"Aperture, Millerton, New York, 1994",V2: 43,Very high,CORE
2,Robert Adams,The New West,1974,"Colorado Associated University Press, Boulder, 1974",V2: 25,Very high,CORE
2,Robert Cumming,The Weight of Franchise Meat,1971,"Robert Cumming, Orange County, California, 1971 (edition of 500)",V2: 146,Very high,CORE
1,"Robert, Louis-Rémi",Souvenir de Versailles,,,V1: 16,Medium provisional,BROAD
1,"Roberts, David",The Holy Land and Egypt,,,V1: 23,Medium provisional,BROAD
1,"Robinson, Henry Peach",Pictorial Effect in Photography,,,V1: 63,Medium provisional,BROAD
1,"Rodger, George",Le Village des noubas,,,V1: 190,Medium provisional,BROAD
1,"Rodionov, F £",Raboche-Krest’yanskaya Krasnaya Armiya,,,V1: 172-3,High provisional,CORE
3,Roe Ethridge,Le Luxe,,,,High,CORE
1,"Ron, Franz",Foto-Auge... Oeil et photo... Photo-Eye,,,V1: 98-9,High provisional,CORE
2,Roni Horn,Still Water,1999,"SITE, in association with the Lannan Foundation, Sante Fe, New Mexico, 1999",V2: 171,Very high,CORE
2,Roni Horn,To Place - Book I: Bluff Life,1990,"Peter Blum Edition, New York, 1990 (special edition of 150)",V2: 164,Very high,CORE
2,Roni Horn,To Place - Book II: Folds,1991,"Mary Boone Gallery, New York, 1991 (edition of 700)",V2: 164,Very high,CORE
