Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
1,"Abbott, Berenice",Changing New York,,,V1: 141,High provisional,CORE
1,"Abbott, Berenice / Atget, Eugéne",Atget: photographe de paris,,,V1: 127,High provisional,CORE
1,"Agee, James / Evans, Walker",Let us now Praise Famous Men,,,V1: 144,High provisional,CORE
3,Alain Resnais & Jorge Semprun,Repérages,1974,Éditions du Chêne,,High,CORE
3,Albert Blitz (ed.) / various photographers,Blauwe Maandag: Omdat Mijn Huis Daar Stond,1975,Aktiegroep Nieuwmarkt,V3: 68,High,CORE
2,Albert Renger-Patzsch,Kupferhammer Grünthal: Vierhundert Jahre Deutscher Arbeitskultur 1537-1937 (The Grünthal Copperworks: 400 Years of German Labour 1537-1937),1937,"CG Roder, Leipzig, 1937",V2: 186,Very high,CORE
1,"Albin-Guillot, Laure",Micrographie décorative,,,V1: 80,High provisional,CORE
3,Alec Soth,Broken Manual,2010,Steidl,,High,CORE
2,Alec Soth,Sleeping by the Mississippi,2003; 2004,"Alec Soth, Minneapolis, Minnesota, 2003 (two limited editions of 25) || Steidl, Göttingen, 2004",V2: 50,Very high,CORE
2,Aleksandar Vučo (Askerland) and Dušan Matić,Podvizi družine 'pet petlića' (The Exploits of the 'Five Cockerels' Gang'),1933,"Nadrealistička Izdanja, Belgrade, 1933",V2: 139,Very high,CORE
2,Alexander Honory,The Lost Pictures,1998,"Private Institute of Family Photography, Cologne, 1998 (edition of 100)",V2: 327,Very high,CORE
2,"Alice Rose George, Gilles Peress",Here is New York,2002,"Michael Shulan and Charles Traub, eds Scalo, Zurich, 2002",V2: 232,Very high,CORE
2,Alicia D'Amico and Sara Facio,Buenos Aires Buenos Aires,1968,"Editorial Sudamericana, Buenos Aires, 1968",V2: 108,Very high,CORE
3,All Japan Students Photographers Association,Hiroshima Hiroshima hirou-ʃimə,1972,Zen-Nihon Gakusei Shashin renmei,,High,CORE
1,"Ammosovy, M V / Iliev, I V / Kalatov, A B / Popov, V |",O Zheleznodorozhnom Transporte SSSR,,,V1: 165,High provisional,CORE
3,Anders Petersen & Jacob Aue Sobol,Veins,,,,High,CORE
2,Andreas Gursky,Montparnasse,1995,"Portikus, Frankfurt, 1995",V2: 275,Very high,CORE
2,Andreas Magdanz,Auschwitz-Birkenau,2003,"Andreas Magdanz, Aachen, 2003",V2: 245,Very high,CORE
2,Andreas Magdanz,Dienststelle Marienthal,2000,"Andreas Magdanz, Aachen, 2000",V2: 282,Very high,CORE
3,Andreas Weinand,Colossal Youth,2013,Peperoni,,High,CORE
2,Andy Warhol,Andy Warhol,1969; 1968,"Moderna Museet, Stockholm, 1969 (special edition shown; standard edition published in 1968)",V2: 144,Very high,CORE
2,Andy Warhol,Andy Warhol's Index (Book),1967,"Random House, New York, 1967",V2: 145,Very high,CORE
1,"Annan, Thomas",The Old Closes and Streets of Glasgow,,,V1: 49,High provisional,CORE
3,Anne Sophie Merryman,Mrs. Merryman's Collection,,,,High,CORE
3,Anonymous,Album: Photographs of the Demonstrations Which Took Place in Palestine,1933,,,Very high,CORE
3,Anonymous,Chile ayer hoy / yesterday today / hier aujourd'hui,1975,,V3: 38,Medium,BROAD
